ID,YEAR,WEEKNUMBER,WEEK,PROJECT,STAFF,MONTH,HOUR,CREATED_AT
10000,2023,1,2023-1-1 TO 2023-1-7,Longevity Plus,Harry Baker,1,40,1/2/23
10001,2023,1,2023-1-1 TO 2023-1-7,Longevity Plus,Tanvir Beech,1,40,1/6/23
10002,2023,1,2023-1-1 TO 2023-1-7,Longevity Plus,Asma Lake,1,40,1/4/23
10003,2023,1,2023-1-1 TO 2023-1-7,Longevity Plus,Asim Hartman,1,40,1/1/23
10004,2023,1,2023-1-1 TO 2023-1-7,Daily Defence,Vickie Berry,1,40,1/5/23
10005,2023,1,2023-1-1 TO 2023-1-7,Daily Defence,Maison Bowden,1,40,1/2/23
10006,2023,1,2023-1-1 TO 2023-1-7,Daily Defence,Ishmael Sullivan,1,40,1/5/23
10007,2023,1,2023-1-1 TO 2023-1-7,Daily Defence,Aarush Schmitt,1,40,1/1/23
10008,2023,1,2023-1-1 TO 2023-1-7,Energy Shot,Nabilah Connor,1,40,1/2/23
10009,2023,1,2023-1-1 TO 2023-1-7,Energy Shot,Maxine Keeling,1,40,1/5/23
10010,2023,1,2023-1-1 TO 2023-1-7,Energy Shot,Lucie Hail,1,40,1/6/23
10011,2023,1,2023-1-1 TO 2023-1-7,Energy Shot,Samara Preston,1,40,1/5/23
10012,2023,1,2023-1-1 TO 2023-1-7,Kid Power,Blair Avery,1,40,1/2/23
10013,2023,1,2023-1-1 TO 2023-1-7,Kid Power,Danielius Greenaway,1,40,1/4/23
10014,2023,1,2023-1-1 TO 2023-1-7,Kid Power,Gabriela Workman,1,40,1/3/23
10015,2023,1,2023-1-1 TO 2023-1-7,Kid Power,Emaan Floyd,1,40,1/1/23
10016,2023,1,2023-1-1 TO 2023-1-7,Immune Boost,Prince Robles,1,40,1/4/23
10017,2023,1,2023-1-1 TO 2023-1-7,Immune Boost,Youssef Hodson,1,32,1/2/23
10018,2023,1,2023-1-1 TO 2023-1-7,Immune Boost,Jeffery Mair,1,40,1/2/23
10019,2023,1,2023-1-1 TO 2023-1-7,Immune Boost,Keyan Flores,1,32,1/1/23
